timestamp,temp_ext,hum_ext
2026-04-23 19:42:36.846074,21.46,76
2026-04-23 19:47:37.463116,21.46,76
2026-04-23 19:52:36.741383,21.46,76
2026-04-23 19:57:36.75395,21.46,76
2026-04-23 20:02:36.748147,21.46,77
2026-04-23 20:07:36.820239,21.46,77
2026-04-23 20:12:36.737236,21.46,77
2026-04-23 20:17:36.750189,21.46,77
2026-04-23 20:22:36.737967,21.46,77
2026-04-23 20:27:36.733879,21.46,77
2026-04-23 20:32:36.752342,20.9,77
2026-04-23 20:37:36.773605,20.9,77
2026-04-23 20:42:36.893567,20.9,77
2026-04-23 20:47:36.747929,20.9,77
2026-04-23 20:52:36.7421,20.9,77
2026-04-23 20:57:36.745587,20.9,77
2026-04-23 21:02:36.735481,20.9,77
2026-04-23 21:07:36.742412,20.9,77
2026-04-23 21:12:36.750072,20.9,78
2026-04-23 21:17:36.841768,20.9,78
2026-04-23 21:22:36.737717,20.9,78
2026-04-23 21:27:36.736636,20.9,78
2026-04-23 21:32:36.750183,20.9,79
2026-04-23 21:37:36.735323,20.9,79
2026-04-23 21:42:36.73806,20.9,79
2026-04-23 21:47:36.744173,20.9,79
2026-04-23 21:52:36.851937,20.9,79
2026-04-23 21:57:36.736318,20.9,79
2026-04-23 22:02:36.736046,20.9,79
2026-04-23 22:07:36.747077,20.9,80
2026-04-23 22:12:36.740374,20.9,80
2026-04-23 22:17:36.740943,20.9,80
2026-04-23 22:22:36.749463,20.9,80
2026-04-23 22:27:36.827084,20.9,80
2026-04-23 22:32:36.736345,20.9,80
2026-04-23 22:37:36.744896,20.9,80
2026-04-23 22:42:36.741655,20.9,80
2026-04-23 22:47:36.732479,20.9,80
2026-04-23 22:52:36.739436,20.9,80
2026-04-23 22:57:36.732906,20.9,80
2026-04-23 23:02:36.837191,20.35,80
2026-04-23 23:07:36.737984,20.35,80
2026-04-23 23:12:36.737858,20.35,80
2026-04-23 23:17:36.746072,20.35,81
2026-04-23 23:22:36.731834,20.35,81
2026-04-23 23:27:36.73481,20.35,81
2026-04-23 23:32:36.746251,20.35,81
2026-04-23 23:37:36.832535,20.35,81
2026-04-23 23:42:36.740994,20.35,81
2026-04-23 23:47:36.733239,20.35,81
2026-04-23 23:52:36.745839,20.35,81
2026-04-23 23:57:36.73165,20.35,81
2026-04-24 00:02:36.733437,20.35,81
2026-04-24 00:07:36.741784,20.35,82
2026-04-24 00:12:36.878752,20.35,82
2026-04-24 00:17:36.730006,20.35,82
2026-04-24 00:22:36.732802,20.35,82
2026-04-24 00:27:36.749724,20.35,82
2026-04-24 00:32:36.732203,20.35,82
2026-04-24 00:37:36.731551,20.35,82
2026-04-24 00:42:36.742602,20.35,82
2026-04-24 00:47:36.821993,20.35,82
2026-04-24 00:52:36.73127,20.35,82
2026-04-24 00:57:36.744402,19.79,83
2026-04-24 01:02:36.733037,19.79,83
2026-04-24 01:07:36.733914,19.79,83
2026-04-24 01:12:36.744385,19.79,83
2026-04-24 01:17:36.731252,19.79,83
2026-04-24 01:22:36.855555,19.79,83
2026-04-24 01:27:36.740959,19.79,83
2026-04-24 01:32:36.730897,19.79,83
2026-04-24 01:37:36.739363,19.79,83
2026-04-24 01:42:36.754818,19.79,83
2026-04-24 01:47:36.743057,19.79,83
2026-04-24 01:52:36.761811,19.79,84
2026-04-24 01:57:36.852827,19.79,84
2026-04-24 02:02:36.73908,19.79,84
2026-04-24 02:07:36.739449,19.79,84
2026-04-24 02:12:36.756129,19.79,84
2026-04-24 02:17:36.737606,19.79,84
2026-04-24 02:22:36.737058,19.79,84
2026-04-24 02:27:36.74318,19.23,84
2026-04-24 02:32:36.862511,19.23,84
2026-04-24 02:37:36.730536,19.23,84
