id,f20911t,f20911h,f20910p,f209potsecador,fecha
6967,23.2,51.3,310.8,0.0,2026-04-25 06:16:03.995261
6968,22.8,54.2,297.9,0.0,2026-04-25 06:21:03.994819
6969,23.2,51.6,319.2,0.0,2026-04-25 06:26:04.004384
6970,22.7,54.5,295.7,0.0,2026-04-25 06:31:03.995402
6971,23.4,51.1,310.7,0.0,2026-04-25 06:36:03.995758
6972,22.6,54.5,291.8,0.0,2026-04-25 06:41:04.003791
6973,23.4,51.0,311.1,0.0,2026-04-25 06:46:03.994904
6974,22.6,54.5,291.4,0.0,2026-04-25 06:51:04.006296
6975,23.4,51.1,312.0,0.0,2026-04-25 06:56:04.008732
6976,22.6,54.5,294.6,0.0,2026-04-25 07:01:04.025419
6977,23.4,51.0,306.8,0.0,2026-04-25 07:06:04.00654
6978,22.7,54.5,299.2,0.0,2026-04-25 07:11:04.001507
6979,23.5,50.8,310.9,0.0,2026-04-25 07:16:04.001775
6980,22.6,54.3,297.4,0.0,2026-04-25 07:21:04.001193
6981,23.4,51.0,312.2,0.0,2026-04-25 07:26:04.001319
6982,22.7,54.4,296.9,0.0,2026-04-25 07:31:04.009784
6983,23.3,51.2,311.9,0.0,2026-04-25 07:36:04.000847
6984,22.7,54.2,294.6,0.0,2026-04-25 07:41:04.011263
6985,23.6,50.6,312.2,0.0,2026-04-25 07:46:04.002989
6986,22.6,54.4,298.3,0.0,2026-04-25 07:51:04.001862
